,Fitness,Iteration,Restarts,Time,current_restart,max_iters
175,4.0,175,15,0.13137123700000153,15,550
176,8.0,176,15,0.13140805799999988,15,550
177,8.0,177,15,0.13144428400000052,15,550
178,8.0,178,15,0.13149188700000103,15,550
179,8.0,179,15,0.14223579500000127,15,550
180,9.0,180,15,0.14270724500000043,15,550
181,9.0,181,15,0.14276048500000016,15,550
182,9.0,182,15,0.14280610500000002,15,550
183,9.0,183,15,0.1428465560000003,15,550
184,9.0,184,15,0.142925957000001,15,550
185,9.0,185,15,0.14298035200000037,15,550
186,9.0,186,15,0.1430246050000008,15,550
187,9.0,187,15,0.1430666089999999,15,550
188,9.0,188,15,0.1431189530000001,15,550
189,9.0,189,15,0.1431667480000005,15,550
190,9.0,190,15,0.15403373100000017,15,550
